Test result: 87.76
loss: 0.49
Time: 4592 s
[[883  12  14   4  11   0   7   4  50  15]
 [  1 970   0   0   1   0   1   0   6  21]
 [ 24   1 838  14  29  16  51  13   8   6]
 [ 16  12  25 678  47  79  87  20  22  13]
 [  2   2  20  15 872   8  63  16   0   2]
 [  4  10  12  81  33 774  41  39   1   5]
 [  6   1   7   5   8   0 970   1   0   2]
 [  5   1  10   8  27  10  15 915   2   7]
 [ 19   6   4   0   2   0   3   0 950  16]
 [  6  54   0   1   2   0   3   0   9 925]]
