Test result: 84.01
loss: 0.54
Time: 3755 s
[[791  17  58   7  13   0  12   9  38  55]
 [  1 873   1   2   1   0   7   0   3 112]
 [ 19   2 767  19  32  33  96  13   4  15]
 [  7   6  40 639  41 105 103  15   9  34]
 [  1   1  42   8 833  17  70  20   6   2]
 [  2   0  29  75  32 788  32  27   1  14]
 [  3   0  12   7   4   3 962   5   2   2]
 [  4   3  20   8  35  18  14 886   0  12]
 [ 28  10   8   3   1   0   9   3 894  44]
 [  4  17   2   2   0   1   1   2   4 967]]
